id,budget,company,country,director,genre,domestic_revenue_usd,name,rating,released,runtime,score,star,votes,writer,year,rank,total_revenue_usd,international_revenue_usd
1177,0,Home Box Office (HBO),USA,Russell Mulcahy,Action,21760000,Ricochet,R,10/4/1991,102,6.1,Denzel Washington,13505,Fred Dekker,1991,4842,21756163,-3837
1386,2000000,Arau Films Internacional,Mexico,Alfonso Arau,Drama,21665500,Como agua para chocolate,R,5/28/1993,105,7.2,Marco Leonardi,14517,Laura Esquivel,1992,4846,21744201,78701
3137,46000000,Paramount Pictures,Germany,John Singleton,Action,70334258,Shaft,R,6/16/2000,99,5.9,Samuel L. Jackson,61511,Ernest Tidyman,2000,4898,21360215,-48974043
1898,45000000,Paramount Pictures,USA,Mark Rydell,Drama,20928892,Intersection,R,1/21/1994,98,5.2,Richard Gere,6432,David Rayfiel,1994,4899,21355893,427001
1603,0,Paramount Pictures,USA,Steve Barron,Comedy,21274717,Coneheads,PG,7/23/1993,88,5.2,Dan Aykroyd,44080,Tom Davis,1993,4911,21274717,0
5207,18000000,Metro-Goldwyn-Mayer (MGM),USA,Kevin Tancharoen,Comedy,22455510,Fame,PG,9/25/2009,107,5,Kelsey Grammer,14706,Allison Burnett,2009,4916,21202829,-1252681
4521,15000000,Summit Entertainment,UK,Mark Palansky,Comedy,10011274,Penelope,PG,2/29/2008,104,6.8,Christina Ricci,53683,Leslie Caveny,2006,4923,21156270,11144996
1437,0,Dino de Laurentiis Communications,USA,Bruce A. Evans,Action,21142815,Kuffs,PG-13,1/10/1992,102,5.8,Christian Slater,8420,Bruce A. Evans,1992,4929,21142815,0
2262,45000000,Columbia Pictures Corporation,USA,Harold Ramis,Comedy,20100000,Multiplicity,PG-13,7/17/1996,117,6,Michael Keaton,26196,Chris Miller,1996,4939,21075014,975014
581,15000000,Columbia Pictures Corporation,USA,David Seltzer,Comedy,21032267,Punchline,R,10/7/1988,128,5.8,Sally Field,6938,David Seltzer,1988,4946,21042667,10400
4702,0,Bórd Scannán na hÉireann,Ireland,John Carney,Drama,9439923,Once,R,6/15/2007,85,7.9,Glen Hansard,98719,John Carney,2007,4964,20936722,11496799
2219,0,Imagine Entertainment,USA,James Foley,Drama,20754000,Fear,R,4/12/1996,97,6.2,Mark Wahlberg,34037,Christopher Crowe,1996,4980,20831000,77000
4568,14000000,The Weinstein Company,USA,Emilio Estevez,Biography,11242801,Bobby,R,11/23/2006,117,7,Anthony Hopkins,39109,Emilio Estevez,2006,4992,20718608,9475807
3226,2000000,double A Films,USA,Michael Almereyda,Drama,1568749,Hamlet,R,6/23/2000,112,6,Ethan Hawke,8354,William Shakespeare,2000,4995,20710451,19141702
2249,18000000,Castle Rock Entertainment,UK,Kenneth Branagh,Drama,4414535,Hamlet,PG-13,12/25/1996,242,7.8,Kenneth Branagh,32078,William Shakespeare,1996,4995,20710451,16295916
939,0,Canal+,USA,Franco Zeffirelli,Drama,20710451,Hamlet,PG,1/18/1991,135,6.8,Mel Gibson,18778,William Shakespeare,1990,4995,20710451,0
1940,0,Forge,USA,Ron Underwood,Comedy,20664501,Speechless,PG-13,12/16/1994,99,5.7,Michael Keaton,4298,Robert King,1994,4996,20667959,3458
6787,15000000,New Line Cinema,USA,Peter Atencio,Action,20566327,Keanu,R,4/29/2016,100,6.3,Keegan-Michael Key,34580,Jordan Peele,2016,4999,20651333,85006
5104,33000000,Constantin Film,Germany,Christian Alvart,Action,10330853,Pandorum,R,9/25/2009,108,6.8,Dennis Quaid,128906,Travis Milloy,2009,5000,20648328,10317475
4500,17500000,Warner Bros.,USA,Jay Chandrasekhar,Comedy,19185184,Beerfest,R,8/25/2006,110,6.3,Jay Chandrasekhar,57005,Jay Chandrasekhar,2006,5031,20387597,1202413
1994,45000000,Carolco Pictures,France,Paul Verhoeven,Drama,20302961,Showgirls,NC-17,9/22/1995,128,4.7,Elizabeth Berkley,53325,Joe Eszterhas,1995,5036,20350754,47793
2674,20000000,Film Office,USA,John Carpenter,Action,20241395,Vampires,R,10/30/1998,108,6.1,James Woods,45366,John Steakley,1998,5045,20308772,67377
1175,23000000,Universal Pictures,USA,Michael Karbelnikoff,Crime,20246790,Mobsters,R,7/26/1991,104,5.9,Christian Slater,7229,Michael Mahern,1991,5056,20246790,0
1033,0,"Samuel Goldwyn Company, The",USA,John Erman,Drama,20240128,Stella,PG-13,2/2/1990,109,6,Bette Midler,2013,Olive Higgins Prouty,1990,5058,20240128,0
1365,5000000,Island World,USA,Ernest R. Dickerson,Action,20146880,Juice,R,1/17/1992,95,7.1,Omar Epps,18787,Ernest R. Dickerson,1992,5069,20146880,0
2318,25530000,Universal Pictures,USA,Alan Shapiro,Family,20047715,Flipper,PG,5/17/1996,95,5.2,Paul Hogan,8610,Ricou Browning,1996,5082,20080020,32305
4830,0,Hart-Sharp Entertainment,USA,Lajos Koltai,Drama,12406646,Evening,PG-13,6/29/2007,117,6.6,Vanessa Redgrave,12115,Susan Minot,2007,5088,20016753,7610107
