gross,name
1432687,A Prayer for the Dying
5262047,Gardens of Stone
7555000,Wanted: Dead or Alive
6804312,The Chipmunk Adventure
2407024,The Kindred
4572845,Made in Heaven
5715174,Wisdom
3107551,White Mischief
486434,September
4370078,The Dead
562187,Steel Dawn
354704,Prison
30950002,Nuts
25411386,Tin Men
760000,The Hanoi Hilton
796368,Rampage
1733017,The Big Town
3283832,Wish You Were Here
2700000,The Allnighter
287725,The Belly of an Architect
4278150,Best Seller
700000,Siesta
316199,Promised Land
12640385,The Bedroom Window
2201428,Dark Eyes
9868521,Maid to Order
225358,Square Dance
210200,Straight to Hell
16337355,Burglar
999382,In the Mood
1083486,84 Charing Cross Road
154323,"Silent Night, Deadly Night 2"
969205,Five Corners
1988962,Date with an Angel
257043,Walker
626724,Deadly Illusion
406881,Slam Dance
2228951,The Squeeze
1744164,Personal Services
6075793,Assassination
13133,Creepozoids
1262091,China Girl
5669831,Nadine
2413427,Dead of Winter
108154,"No Retreat, No Surrender 2"
895904,The Glass Menagerie
228789,Anguish
443524,A Month in the Country
1355728,From a Whisper to a Scream
20419446,Hello Again
1025228,Little Dorrit
460608,Walk Like a Man
858250,Tough Guys Don't Dance
10348437,Disorderlies
743445,"Sister, Sister"
1584970,Making Mr. Right
225132,White of the Eye
2189047,Russkies
5711976,Surrender
1083282,Housekeeping
213901,The Year My Voice Broke
187920,Hell High
949451,A Man in Love
9518342,From the Hip
1025762,Cross My Heart
3390043,Big Shots
20240502,Critical Condition
41174,Cyclone
2136381,Morgan Stewart's Coming Home
285885,Cold Steel
21905,Zombie High
112560,Intervista
3922273,My Demon Lover
355253,Rumpelstiltskin
307000,World Gone Wild
197791,Enemy Territory
901364,Julia and Julia
119919,Crazy Love
2325444,Weeds
760539,The Grand Highway
1155020,Peter Kenna's The Good Wife
295000,Rent-a-Cop
823243,Boyfriends and Girlfriends
1196336,Sammy and Rosie Get Laid
4546244,Death Before Dishonor
500283,The Killing Time
200723,Eat the Rich
205507,The Trouble with Spies
22257624,Benji the Hunted
1730337,The Rosary Murders
1092911,Swimming to Cambodia
1392616,Penitentiary III
1327740,Steele Justice
215073,Four Adventures of Reinette and Mirabelle
790000,Beyond Therapy
73707461,Beetlejuice
128152300,Coming to America
33244684,Child's Play
83008852,Die Hard
57269863,Willow
1108462,Heathers
172825435,Rain Man
13008928,They Live
156452370,Who Framed Roger Rabbit
553171,Akira
114968774,Big
78222753,Cocktail
11990401,Cinema Paradiso
8247943,The Blob
4385516,Pumpkinhead
63493712,A Fish Called Wanda
15625095,Killer Klowns from Outer Space
38413606,Midnight Run
11090735,Hellbound: Hellraiser II
34603943,Mississippi Burning
78041829,The Naked Gun: From the Files of Police Squad!
11806119,Bloodsport
64000000,Working Girl
109305000,Crocodile Dundee II
48092846,The Land Before Time
111936400,Twins
34700000,Dangerous Liaisons
10006806,The Unbearable Lightness of Being
3500000,The Big Blue
57041866,Beaches
17768757,Halloween 4: The Return of Michael Myers
45661556,Young Guns
34994648,Red Heat
12793213,Mystic Pizza
53715611,Rambo III
32069318,Acusados
7630564,The Last Temptation of Christ
6671108,Hairspray
42039085,Dirty Rotten Scoundrels
49369899,A Nightmare on Elm Street 4: The Dream Master
13994920,Stand and Deliver
41455230,The Great Outdoors
1547397,Two Moon Junction
50888729,Bull Durham
18869631,Above the Law
3916303,Earth Girls Are Easy
74151346,Oliver & Company
37903295,The Dead Pool
5596267,Elvira: Mistress of the Dark
60328558,Scrooged
41292551,Tequila Sunrise
17637950,Frantic
19170001,Friday the 13th Part VII: The New Blood
22433275,License to Drive
8083123,The Adventures of Baron Munchausen
9134733,Dead Ringers
14114488,Poltergeist III
2983784,Fright Night Part 2
13030057,I'm Gonna Git You Sucka
17550399,Johnny Be Good
671382,Maniac Cop
21486757,Married to the Mob
46616067,Colors
8578231,El Hotel de los Fantasmas
2835116,Running on Empty
3109904,Night of the Demons
6424112,Mac and Me
3813293,Critters 2
13854000,My Stepmother Is an Alien
9205924,Return of the Living Dead II
21630088,Short Circuit 2
24720479,Gorillas in the Mist
725131,Vampire's Kiss
6264058,A Night in the Life of Jimmy Reardon
401421,Some Girls
1189315,The Lair of the White Worm
808114,Waxwork
19595031,The Serpent and the Rainbow
3569939,Las travesuras de una pelirojja
5680515,Eight Men Out
1705139,Lady in White
7179298,Women on the Verge of a Nervous Breakdown
16031707,She's Having a Baby
7282851,Phantasm II
16118077,Luces de una gran ciudad
20036242,The Presidio
40150487,Big Business
5344577,Monkey Shines
25537221,Funny Farm
8539181,Without a Clue
25216243,Alien Nation
5979011,1969
2955917,976-EVIL
20257000,Action Jackson
13825794,The Milagro Beanfield War
19652638,Tucker: The Man and His Dream
4239831,Police Academy 5: Assignment: Miami Beach
14545844,School Daze
13664060,Vice Versa
1145404,Miracle Mile
280015,Time of the Gypsies
32632093,The Accidental Tourist
18924919,Cocoon: The Return
161004,The Beast of War
670774,Apartment Zero
18875011,The Seventh Sign
15855828,Masquerade
1562749,Another Woman
2181286,Bird
424773,Drowning by Numbers
6908797,A Cry in the Dark
43184798,Biloxi Blues
3468572,Talk Radio
31753898,The Bear
12277096,Casual Sex?
11798302,Caddyshack II
1883811,Vibes
29300090,Shoot to Kill
17514553,For Keeps?
11536599,Young Einstein
9974446,Criminal Law
8253123,Satisfaction
25816139,Betrayed
8674093,Clean and Sober
940173,Al borde del terror
4192440,Escorpion rojo
12706478,D.O.A.
960040,Appointment with Death
2080046,Salaam Bombay!
3966256,Bat*21
13687027,Return to Snowy River
40397,Pulse
7467504,Stealing Home
10815378,Moving
2567099,18 Again!
6640346,Fresh Horses
4865997,Torch Song Trilogy
3588626,Dead Heat
107352,Not of This Earth
1733070,Little Nikita
21032267,Punchline
5855392,The Rescue
6193901,Braddock: Missing in Action III
10497324,Iron Eagle II
201055,Camille Claudel
15122324,Big Top Pee-wee
1791328,Stormy Monday
303624,The Chocolate War
8440,As Tears Go By
1938049,Spellbinder
784990,The Boost
11444204,Moon Over Parador
28202109,Ernest Saves Christmas
2326900,A World Apart
1884315,Cop
540000,Buster
16262415,Crossing Delancey
241278,Paperhouse
5194491,Clara's Heart
10068039,Shakedown
11005304,The Couch Trip
370698,Gandahar
1893139,Permanent Record
1869148,The Kiss
410109,36 fillette
5301200,Hero and the Terror
6436211,Hot to Trot
12638294,Everybody's All-American
229556,Judgement in Berlin
