,budget,company,director,genre,domestic_revenue_usd,name_domestic,rating,released,runtime,score,star,votes,writer
2754,0,Polygram Filmed Entertainment,Skip Woods,Action,3121,Thursday,R,9/25/98,83,7.2,Thomas Jane,14875,Skip Woods
2755,0,Castle Rock Entertainment,Larry David,Comedy,219932,Sour grapes,R,4/17/98,91,5.7,Steven Weber,2482,Larry David
2756,75000000,Touchstone Pictures,Steven Zaillian,Drama,56702901,A civil action,PG-13,1/8/99,115,6.5,John Travolta,24412,Jonathan Harr
2757,0,Miramax,Joe Chappelle,Horror,5657370,Phantoms,R,1/23/98,96,5.4,Peter O'Toole,17167,Dean R. Koontz
2758,30000000,Oriental Light and Magic (OLM),Kunihiko Yuyama,Animation,85744662,Pokèmon: the first movie - mewtwo strikes back,G,11/10/99,96,6.0,Veronica Taylor,32118,Satoshi Tajiri
2759,15000000,Twentieth Century Fox Film Corporation,Nicholas Hytner,Comedy,29106737,The object of my affection,R,4/17/98,111,6.0,Jennifer Aniston,16506,Stephen McCauley
2760,0,CiBy 2000,Emir Kusturica,Comedy,348660,"Black cat, white cat",R,6/1/98,127,8.1,Bajram Severdzan,43614,Gordan Mihic
2761,70000000,British Broadcasting Corporation (BBC) Television,Mikael Salomon,Action,19819494,Hard rain,R,1/16/98,97,5.8,Morgan Freeman,28397,Graham Yost
2762,3500000,Lions Gate Films,Bill Condon,Biography,6390032,Gods and monsters,R,11/4/98,105,7.5,Ian McKellen,26050,Christopher Bram
2763,0,Paramount Pictures,Howard Deutch,Adventure,18912328,The odd couple ii,PG-13,4/10/98,97,6.4,Jack Lemmon,7798,Neil Simon
2764,5000000,Fox Searchlight Pictures,Tamara Jenkins,Comedy,5480318,Slums of beverly hills,R,9/11/98,91,6.6,Natasha Lyonne,10079,Tamara Jenkins
2765,6000000,Polar Entertainment,John Waters,Comedy,2281761,Pecker,R,10/9/98,87,6.4,Edward Furlong,12098,John Waters
2766,14000000,Hyperion Pictures,Willard Carroll,Comedy,3956212,Playing by heart,R,1/22/99,121,7.2,Gillian Anderson,17129,Willard Carroll
2767,20000000,Twentieth Century Fox Film Corporation,Kevin Rodney Sullivan,Comedy,37672350,How stella got her groove back,R,8/14/98,124,5.6,Angela Bassett,5794,Terry McMillan
2768,0,TriStar Pictures,Jonathan Darby,Drama,13513622,Hush,PG-13,3/6/98,96,5.3,Jessica Lange,8036,Jonathan Darby
2769,80000000,Harpo Films,Jonathan Demme,Drama,22852487,Beloved,R,10/16/98,172,5.9,Oprah Winfrey,6354,Toni Morrison
2770,3000000,Tomboy Films,Kirk Jones,Comedy,24788807,Waking ned devine,PG,1/8/99,91,7.3,Ian Bannen,22433,Kirk Jones
2771,0,Chaos Productions,Peter Chelsom,Comedy,2643689,The mighty,PG-13,10/30/98,100,7.3,Kieran Culkin,11035,Rodman Philbrick
2772,65000000,Award Entertainment,Mike Nichols,Comedy,38966057,Esc·ndalo,R,3/20/98,143,6.7,John Travolta,24802,Joe Klein
2773,50000000,Mandalay Entertainment,Barbet Schroeder,Action,13806137,Desperate measures,R,1/30/98,100,6.1,Michael Keaton,14476,David Klass
2774,0,Alliance Communications Corporation,Sarah Kernochan,Comedy,968506,All i wanna do,PG-13,9/4/98,97,6.7,Kirsten Dunst,5895,Sarah Kernochan
2775,0,Gaumont,Francis Veber,Comedy,4065116,The dinner game,PG-13,4/15/98,80,7.7,Thierry Lhermitte,31717,Francis Veber
2776,30000000,Turner Pictures (I),Christopher Guest,Adventure,6114928,Almost heroes,PG-13,5/29/98,90,5.8,Chris Farley,13764,Mark Nutter
2777,0,Universal Pictures,Kevin Hooks,Action,12829351,Black dog,PG-13,5/1/98,89,5.3,Patrick Swayze,7181,William Mickelberry
2778,10000000,Tapestry Films,Jim Abrahams,Comedy,19882538,Mafia!,PG-13,7/24/98,87,5.5,Jay Mohr,13168,Jim Abrahams
2779,80000000,Kennedy Miller Productions,George Miller,Adventure,18319860,Babe el puerquito va a la ciudad,G,11/25/98,97,5.8,Magda Szubanski,26946,George Miller
2780,18000000,Morgan Creek Productions,John Warren,Comedy,3551208,Major league: back to the minors,PG-13,4/17/98,100,4.5,Scott Bakula,6102,David S. Ward
2781,0,391 Productions,Lisa Cholodenko,Drama,1929168,High art,R,6/12/98,101,6.7,Radha Mitchell,8834,Lisa Cholodenko
2782,8000000,Castle Rock Entertainment,Whit Stillman,Comedy,2987297,The last days of disco,R,6/12/98,113,6.6,ChloÎ Sevigny,10509,Whit Stillman
2783,14000000,Paramount Pictures,Alan Cohn,Comedy,15062898,Dead man on campus,R,8/21/98,96,6.1,Tom Everett Scott,12255,Anthony Abrams
2784,0,Fox Searchlight Pictures,Des McAnuff,Comedy,1200000,Cousin bette,R,6/12/98,108,6.2,Jessica Lange,2259,HonorÈ de Balzac
2785,0,Polygram Filmed Entertainment,Joseph Ruben,Drama,8288513,Return to paradise,R,8/14/98,111,6.9,Vince Vaughn,12128,Pierre Jolivet
2786,0,Dharma Productions,Karan Johar,Comedy,2100000,Kuch kuch hota hai,Not specified,10/16/98,177,7.8,Shah Rukh Khan,37960,Karan Johar
2787,25000000,Enchanter Entertainment,Robert Altman,Thriller,1534569,The gingerbread man,R,1/23/98,114,5.7,Kenneth Branagh,9583,John Grisham
2788,20000000,Cinehaus,Robert Benton,Crime,15030732,Twilight,R,3/6/98,94,6.2,Paul Newman,8769,Robert Benton
2789,25000000,Cruise/Wagner Productions,Robert Towne,Biography,777423,Without limits,PG-13,9/11/98,117,7.2,Billy Crudup,6061,Robert Towne
2790,4500000,Chinese Bookie Pictures,Larry Clark,Crime,1025234,Another day in paradise,R,1999,101,6.5,James Woods,7508,Eddie Little
2791,0,Arts Council of England,Simon Shore,Comedy,1200000,Get real,R,4/30/99,108,7.7,Ben Silverstone,11131,Patrick Wilde
2792,1100000,Shooting Gallery,John Pieplow,Horror,631221,Strangeland,R,10/2/98,85,5.0,Kevin Gage,5935,Dee Snider
2793,0,Morgan Creek Productions,Pat Proft,Action,9623329,Acusado sin razûn,PG-13,8/21/98,87,6.1,Leslie Nielsen,19731,Pat Proft
2794,15000000,Dimension Films,Penelope Spheeris,Comedy,13035599,Senseless,R,2/20/98,93,6.0,Marlon Wayans,11375,Greg Erb
2795,35000000,Knock Films A.V.V.,Hark Tsui,Action,10076136,Knock off,R,9/4/98,91,4.8,Jean-Claude Van Damme,12179,Steven E. de Souza
2796,23000000,DreamWorks,John Roberts,Adventure,27008669,Paulie,PG,4/17/98,91,6.5,Gena Rowlands,12531,Laurie Craig
2797,0,Mandalay Entertainment,Randa Haines,Drama,15814088,Dance with me,PG,8/21/98,126,5.8,Vanessa Williams,5146,Daryl Matthews
2798,0,FilmColony,Anthony Drazan,Comedy,1796328,Hurlyburly,R,12/25/98,122,5.8,Sean Penn,9261,David Rabe
2799,20000000,Dieter Geissler Filmproduktion,Carl Schenkel,Action,2147114,Tarzan and the lost city,PG,4/24/98,100,3.9,Casper Van Dien,1892,Edgar Rice Burroughs
2800,0,Picture Palace North,Paul McGuigan,Comedy,142783,The acid house,UNRATED,8/17/01,111,6.3,Stephen McCole,6281,Irvine Welsh
2801,12000000,AMLF,Gillies MacKinnon,Adventure,1262786,Hideous kinky,R,1/13/99,98,6.1,Kate Winslet,5757,Esther Freud
2802,7000000,Miramax,M. Night Shyamalan,Comedy,258212,Wide awake,PG,3/20/98,88,6.1,Joseph Cross,3440,M. Night Shyamalan
2803,0,Leeds/Ben-Ami Productions,Sean McNamara,Action,375805,3 ninjas: high noon at mega mountain,PG,6/18/98,93,2.8,Loni Anderson,9353,Sean McNamara
2804,0,Miramax,Mark Herman,Comedy,4595000,Little voice,R,12/4/98,97,7.0,Brenda Blethyn,14479,Jim Cartwright
2805,15000000,Polygram Filmed Entertainment,Steve Gomer,Adventure,11144518,Barney's great adventure,G,4/3/98,76,2.9,George Hearn,2827,Stephen White
2806,2900000,"Audiovisual Development Bureau, Ministerio da Cultura",Walter Salles,Drama,5595428,Central station,R,11/20/98,113,8.0,Fernanda Montenegro,30487,Marcos Bernstein
