rank,name,year,total
235,San andreas,2015,473990832
236,It chapter two,2019,473093228
237,Jaws,1975,471859371
238,Wreck-it ralph,2012,471222889
239,The hangover,2009,469310836
240,The lego movie,2014,468060692
241,Bumblebee,2018,467989645
242,Star trek into darkness,2013,467365246
243,The matrix,1999,465347581
244,Pretty woman,1990,463406268
245,Cars,2006,461991867
246,Gladiator,2000,460583960
247,X-men: the last stand,2006,460435291
248,National treasure: book of secrets,2007,459242249
249,Lucy,2014,458863600
250,Mission: impossible,1996,457731198
251,300,2007,456068181
252,The last samurai,2003,454627263
253,Dying to survive,2018,451183391
254,Ocean's eleven,2001,450717150
255,"My people, my country",2019,450064993
256,Thor,2011,449326618
257,Pearl harbor,2001,449220945
258,Tarzan,1999,448191819
259,La la land,2016,446486224
260,Men in black ii,2002,445135288
261,The bourne ultimatum,2007,444100035
262,The mummy returns,2001,443280904
263,Alvin and the chipmunks: the squeakquel,2009,443140005
264,Les misérables,2012,441809770
265,The exorcist,1973,441306145
266,Mrs. doubtfire,1993,441286195
267,Terminator genisys,2015,440603537
268,Beauty and the beast,1991,440118382
269,Warcraft,2016,439048914
270,A star is born,2018,436188866
271,The greatest showman,2017,435026226
272,Terminator 3: rise of the machines,2003,433371112
273,Pokémon detective pikachu,2019,433005346
274,Die another day,2002,431971116
275,The secret life of pets 2,2019,430051293
276,Cast away,2000,429632142
277,Rampage,2018,428028233
278,The king's speech,2010,427374317
279,The matrix revolutions,2003,427344031
280,The intouchables,2011,426588510
281,Django unchained,2012,425368238
282,Dances with wolves,1990,424208848
283,Twilight,2008,421667219
284,The chronicles of narnia: prince caspian,2008,419665568
285,Bad boys for life,2020,419074646
286,Sex and the city,2008,418765321
287,The captain,2019,416953262
288,The mummy,1999,415933406
289,The chronicles of narnia: the voyage of the dawn treader,2010,415686217
290,Jason bourne,2016,415484914
291,The wolverine,2013,414828246
292,Kingsman: the secret service,2015,414351546
293,Night at the museum: battle of the smithsonian,2009,413106170
294,Batman,1989,411556825
295,The bodyguard,1992,411006740
296,Pacific rim,2013,411002906
297,Kingsman: the golden circle,2017,410902662
298,Mamma mia! here we go again,2018,410451860
299,The mummy,2017,409231607
300,Ice age: collision course,2016,408579038
301,Signs,2002,408247917
302,X2: x-men united,2003,407711549
303,Alita: battle angel,2019,404852543
304,Toy story,1995,404265438
305,The mummy: tomb of the dragon emperor,2008,403449830
306,Prometheus,2012,403354469
307,Gone with the wind,1939,402352579
308,Tron: legacy,2010,400062763
309,Mission: impossible iii,2006,398479497
310,Grease,1978,397115505
311,Snow white and the huntsman,2012,396592829
312,Solo: a star wars story,2018,392924807
313,The wolf of wall street,2013,392000694
314,Back to the future,1985,391352459
315,Superman returns,2006,391081192
316,Robin hood: prince of thieves,1991,390493908
317,Raiders of the lost ark,1981,390133212
318,Independence day: resurgence,2016,389681935
319,Live free or die hard,2007,388156011
320,Monster hunt,2015,387053506
321,Godzilla: king of the monsters,2019,386600138
322,Home,2015,386041607
323,Star trek,2009,385680446
324,Happy feet,2006,384335608
325,Cars 3,2017,383930656
326,Ice age,2002,383257136
327,Fifty shades darker,2017,381545846
328,Monsters vs. aliens,2009,381509870
329,Batman begins,2005,379694153
330,Godzilla,1998,379014294
331,True lies,1994,378882411
332,Slumdog millionaire,2008,378410113
333,Taken 2,2012,376141306
334,G.i. joe: retaliation,2013,375740705
335,Spider-man: into the spider-verse,2018,375540831
336,1917,2019,375312717
337,Mad max: fury road,2015,375209362
338,Shark tale,2004,374583879
339,Once upon a time... in hollywood,2019,374343626
340,What women want,2000,374111707
341,The adventures of tintin,2011,373993951
342,Penguins of madagascar,2014,373515621
343,X-men origins: wolverine,2009,373062864
344,The golden compass,2007,372234864
345,Fifty shades freed,2018,371985018
346,Hitch,2005,371594210
347,Terminator salvation,2009,371353001
348,Captain america: the first avenger,2011,370569774
349,Edge of tomorrow,2014,370541256
350,There's something about mary,1998,369884651
351,Gone girl,2014,369330363
352,The fugitive,1993,368875760
353,Jurassic park iii,2001,368780809
354,My big fat greek wedding,2002,368744044
355,Hello mr. billionaire,2018,366961907
356,Die hard with a vengeance,1995,366236538
357,Shazam!,2019,365971656
358,The nun,2018,365550119
359,Alvin and the chipmunks,2007,365352546
360,Home alone 2: lost in new york,1992,365154932
361,Notting hill,1999,363944522
362,A bug's life,1998,363258859
363,Night at the museum: secret of the tomb,2014,363204635
364,Ocean's twelve,2004,362744280
365,Planet of the apes,2001,362211740
366,The hangover part iii,2013,362000072
367,The world is not enough,1999,361832400
368,Monster hunt 2,2018,361682618
369,Fast & furious,2009,360364265
370,Noah,2014,359200044
371,The karate kid,2010,359126022
372,Hotel transylvania,2012,358375603
373,Minority report,2002,358372926
374,Your name.,2016,357986087
375,Top gun,1986,356830601
376,The legend of tarzan,2016,356700357
377,American beauty,1999,356296601
378,Apollo 13,1995,355237933
379,Rain man,1988,354825435
380,The great gatsby,2013,353641895
381,Spirited away,2001,353512771
382,Dumbo,2019,353284621
383,"I, robot",2004,353133898
384,Basic instinct,1992,352927224
385,Murder on the orient express,2017,352789811
386,X-men: first class,2011,352616690
387,The angry birds movie,2016,352333929
388,Goldeneye,1995,352194034
389,Catch me if you can,2002,352114312
390,Now you see me,2013,351723989
391,Hannibal,2001,351692268
392,The mask,1994,351583407
393,Peter rabbit,2018,351266433
394,Speed,1994,350448145
395,Dinosaur,2000,349822765
396,Mary poppins returns,2018,349545966
397,Deep impact,1998,349464664
398,The lorax,2012,348840316
399,The maze runner,2014,348319861
400,The smurfs 2,2013,347545360
401,National treasure,2004,347512318
402,Rush hour 2,2001,347325802
403,Trolls,2016,346864462
404,Xxx: return of xander cage,2017,346118277
405,Pocahontas,1995,346079773
406,How the grinch stole christmas,2000,345141403
407,Star trek beyond,2016,343471816
408,Alvin and the chipmunks: chipwrecked,2011,342695435
409,Wanted,2008,342463063
410,The flintstones,1994,341631208
411,A quiet place,2018,340949051
412,Enchanted,2007,340487652
413,Over the hedge,2006,339795890
414,Back to the future part ii,1985,338954418
415,300: rise of an empire,2014,337580051
416,Batman forever,1995,336567531
417,Prince of persia: the sands of time,2009,336365676
418,The curious case of benjamin button,2008,335802786
419,Journey 2: the mysterious island,2012,335260290
420,The rock,1996,335062621
421,The great wall,2016,334933831
422,Now you see me 2,2016,334897606
423,Never say die,2017,334530869
424,Fantastic four,2005,333535934
425,Indiana jones and the temple of doom,1984,333107271
426,Tomorrow never dies,1997,333011068
427,The good dinosaur,2015,332207671
428,22 jump street,2014,331333876
429,Meet the parents,2000,330444045
430,Who framed roger rabbit,1988,329803958
431,Black swan,2010,329398046
432,The perfect storm,2000,328718434
433,Crocodile dundee,1986,328203506
434,Crazy alien,2019,327598891
435,Se7en,1995,327333559
436,John wick: chapter 3 - parabellum,2019,326709727
437,The devil wears prada,2006,326705902
438,Taken 3,2015,326479141
439,The hunchback of notre dame,1996,325338851
440,A christmas carol,2009,325286646
441,The spongebob movie: sponge out of water,2015,325186032
442,Schindler's list,1993,322287794
443,Megamind,2010,321885765
444,Green book,2018,321752656
445,Lethal weapon 3,1992,321731527
446,The ugly truth,2009,321682600
447,Robin hood,2010,321669741
448,Inglourious basterds,2009,321455689
449,101 dalmatians,1996,320689294
450,The conjuring 2,2016,320392818
451,Fatal attraction,1987,320145693
452,The last airbender,2010,319713881
453,The conjuring,2013,319501756
454,The proposal,2009,317375031
455,A beautiful mind,2001,316791257
456,Beverly hills cop,1984,316360478
457,Air force one,1997,315156409
458,The expendables 2,2012,314975955
459,Chicken little,2005,314432837
460,As good as it gets,1997,314178011
461,The polar express,2004,313500433
462,Maze runner: the scorch trials,2015,312296056
463,Resident evil: the final chapter,2016,312242626
464,Austin powers: the spy who shagged me,1999,312016928
465,The lego batman movie,2017,311950384
466,Ocean's thirteen,2007,311312624
467,Little fockers,2010,310650585
468,Bolt,2008,309979994
469,Ransom,1996,309492681
470,Runaway bride,1999,309460292
471,Knives out,2019,309232797
472,The blind side,2009,309208309
473,The ex-file 3: the return of the exes,2017,307592427
474,The fault in our stars,2014,307166834
475,The pursuit of happyness,2006,307127625
476,Rise of the guardians,2012,306941670
477,Close encounters of the third kind,1977,306899494
478,Chicago,2002,306776732
479,Sonic the hedgehog,2020,306766470
480,Annabelle: creation,2017,306515884
481,Wonder,2017,305937718
482,Skyscraper,2018,304868961
483,A good day to die hard,2013,304654182
484,Mulan,1998,304320254
485,Dangal,2016,303723636
486,Passengers,2016,303144152
487,Battleship,2012,303025485
488,Liar liar,1997,302710615
489,G.i. joe: the rise of cobra,2009,302469017
490,Wrath of the titans,2012,301970083
491,Fantastic 4: rise of the silver surfer,2007,301913131
492,Hook,1991,300854823
493,Rocky iv,1985,300473716
494,Superman,1978,300451667
495,Rambo: first blood part ii,1985,300400432
496,Resident evil: afterlife,2010,300228084
497,Van helsing,2004,300157638
498,Stuart little,1999,300135367
499,Beverly hills cop ii,1987,299965036
500,Alice through the looking glass,2016,299457024
501,My best friend's wedding,1997,299288605
502,Real steel,2011,299268508
503,Horton hears a who!,2008,298572799
504,Ocean's 8,2018,297718711
505,The divergent series: insurgent,2015,297002527
506,Look who's talking,1989,296999813
507,Austin powers in goldmember,2002,296938801
508,Miss peregrine's home for peculiar children,2016,296482446
509,X-men,2000,296339528
510,Ghostbusters,1984,296320419
511,Ferdinand,2017,296069199
512,Shutter island,2010,294804195
513,Doctor dolittle,1998,294456605
514,Bee movie,2007,293514336
515,Salt,2010,293503354
516,G-force,2009,292817841
517,The departed,2006,291465034
518,What lies beneath,2000,291420351
519,Pacific rim: uprising,2018,290930148
520,The bourne supremacy,2004,290835269
521,Sex and the city 2,2010,290745055
522,Shakespeare in love,1998,289317794
523,Divergent,2014,288885818
524,Coming to america,1988,288752301
525,Wedding crashers,2005,288467645
526,Bridesmaids,2011,288383523
527,Maze runner: the death cure,2018,288175335
528,Casper,1995,287928194
529,American pie 2,2001,287553595
530,Pitch perfect 2,2015,287144079
531,The green mile,1999,286801374
532,Oblivion,2013,286168572
533,Elysium,2013,286140700
534,Lethal weapon 4,1998,285444603
535,John carter,2012,284139100
536,Turbo,2013,282570682
537,Paddington,2014,282374179
538,Bridget jones's diary,2001,281929795
539,The tourist,2010,278780441
540,Split,2017,278454358
541,Scary movie,2000,278019771
542,Xxx,2002,277448382
543,The bourne legacy,2012,276144750
544,Mr. peabody & sherman,2014,275698039
545,Scooby-doo,2002,275650703
546,Lincoln,2012,275293450
547,Lara croft: tomb raider,2001,274703340
548,Tomb raider,2018,274650803
549,The expendables,2010,274470394
550,Cloudy with a chance of meatballs 2,2013,274325949
551,The little mermaid,1989,274176364
552,The nutty professor,1996,273961019
553,Jerry maguire,1996,273552592
554,Bad boys ii,2003,273339556
555,Lilo & stitch,2002,273144151
556,The silence of the lambs,1991,272753884
557,Get out,2017,272495873
558,Grown ups,2010,271430189
559,Neighbors,2014,270665134
